=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.16 22:09:31 =~=~=~=~=~=~=~=~=~=~=~=
2 , 8
1 , 79 , 171203 , 170242 , 0
34 , 0
2 , 82 , 170555 , 170486 , 0
1 , 79 , 171096 , 170234 , 0
2 , 82 , 170555 , 170486 , 0
1 , 79 , 171203 , 170242 , 0
34 , 0
2 , 82 , 170555 , 170486 , 0
1 , 79 , 171096 , 170234 , 0
2 , 82 , 170555 , 170486 , 0
1 , 79 , 171203 , 170242 , 0
---------------------
SENSOR 2
window_factor 7.63
sensitivity: low
target (180000) , 179687.50
threshold (140000) , 132812.50

SENSOR 1
window_factor 7.63
sensitivity: low
target (180000) , 179687.50
threshold (140000) , 132812.50

Sensor, Temp , F_sens , F_ref, Rech_Count
1 , 79 , 171073 , 170219 , 0
2 , 82 , 170593 , 170509 , 0
2 , 82 , 170669 , 170509 , 0
1 , 79 , 171089 , 170219 , 0
2 , 82 , 170570 , 170509 , 0
1 , 79 , 171112 , 170227 , 0
2 , 82 , 170570 , 170509 , 0
1 , 79 , 171104 , 170227 , 0
2 , 82 , 170585 , 170501 , 0
1 , 79 , 171096 , 170234 , 0
2 , 82 , 170593 , 170501 , 0
1 , 79 , 171119 , 170242 , 0
2 , 82 , 170578 , 170516 , 0
1 , 79 , 171089 , 170234 , 0
2 , 82 , 170562 , 170509 , 0
1 , 79 , 171081 , 170234 , 0
2 , 82 , 170600 , 170509 , 0
1 , 79 , 171096 , 170242 , 0
2 , 82 , 170692 , 170509 , 0
1 , 79 , 171081 , 170242 , 0
2 , 82 , 170600 , 170509 , 0
1 , 79 , 171073 , 170242 , 0
2 , 82 , 170570 , 170501 , 0
1 , 79 , 171073 , 170234 , 0
2 , 82 , 170585 , 170501 , 0
1 , 79 , 171081 , 170242 , 0
2 , 82 , 170585 , 170509 , 0
1 , 79 , 171165 , 170242 , 0
2 , 82 , 170593 , 170501 , 0
1 , 79 , 171127 , 170242 , 0
2 , 82 , 170539 , 170501 , 0
1 , 79 , 171104 , 170242 , 0
2 , 82 , 170547 , 170501 , 0
1 , 79 , 171104 , 170242 , 0
2 , 82 , 170532 , 170501 , 0
1 , 79 , 171165 , 170242 , 0
2 , 82 , 170547 , 170509 , 0
1 , 79 , 171127 , 170242 , 0
2 , 82 , 170616 , 170509 , 0
1 , 79 , 171127 , 170234 , 0
2 , 82 , 170593 , 170509 , 0
1 , 79 , 171104 , 170234 , 0
2 , 82 , 170570 , 170509 , 0
1 , 79 , 171089 , 170242 , 0
2 , 82 , 170585 , 170501 , 0
1 , 79 , 171119 , 170249 , 0
2 , 82 , 170578 , 170509 , 0
1 , 79 , 171104 , 170242 , 0
2 , 82 , 170669 , 170501 , 0
1 , 79 , 171127 , 170242 , 0
2 , 82 , 170532 , 170509 , 0
1 , 79 , 171104 , 170242 , 0
2 , 82 , 170532 , 170501 , 0
1 , 79 , 171104 , 170249 , 0
2 , 82 , 170524 , 170494 , 0
1 , 79 , 171127 , 170249 , 0
2 , 82 , 170547 , 170509 , 0
1 , 79 , 171112 , 170249 , 0
2 , 82 , 170616 , 170501 , 0
1 , 79 , 171096 , 170249 , 0
2 , 82 , 170585 , 170509 , 0
1 , 79 , 171096 , 170257 , 0
2 , 82 , 170555 , 170501 , 0
1 , 79 , 171081 , 170257 , 0
2 , 82 , 170570 , 170509 , 0
1 , 79 , 171104 , 170249 , 0
2 , 82 , 170570 , 170509 , 0
1 , 79 , 171089 , 170257 , 0
2 , 82 , 170562 , 170509 , 0
1 , 79 , 171119 , 170249 , 0
2 , 82 , 170539 , 170501 , 0
1 , 79 , 171112 , 170257 , 0
2 , 82 , 170524 , 170501 , 0
1 , 79 , 171112 , 170257 , 0
2 , 82 , 170524 , 170509 , 0
1 , 79 , 171096 , 170257 , 0
2 , 82 , 170578 , 170501 , 0
1 , 79 , 171096 , 170249 , 0
2 , 82 , 170578 , 170509 , 0
1 , 79 , 171127 , 170249 , 0
2 , 82 , 170547 , 170501 , 0
1 , 79 , 171096 , 170257 , 0
