,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
47,432,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
48,441,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),190,Vb2(mV),4992,1900.0,9.4848
49,450,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
50,459,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),230,Vb2(mV),4996,2300.0,11.4908
51,468,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
52,477,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
53,486,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
54,494,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
55,503,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
56,512,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
57,521,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
58,530,Vs1(uV),160,Vb1(mV),4992,1600.0,7.9872,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
59,539,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
60,548,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
61,557,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
62,566,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
63,575,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
64,584,Vs1(uV),150,Vb1(mV),4992,1500.0,7.488,Vs2(uV),200,Vb2(mV),4996,2000.0,9.992
65,593,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),230,Vb2(mV),4988,2300.0,11.4724
66,602,Vs1(uV),210,Vb1(mV),4988,2100.0,10.4748,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
67,610,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
68,619,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4988,2300.0,11.4724
69,628,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
70,637,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),240,Vb2(mV),4996,2400.0,11.9904
71,646,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
72,655,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
73,664,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
74,673,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
75,682,Vs1(uV),150,Vb1(mV),4988,1500.0,7.482,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
76,691,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
77,700,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
78,709,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
79,717,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
80,726,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4996,2300.0,11.4908
81,735,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
82,743,Vs1(uV),160,Vb1(mV),4992,1600.0,7.9872,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
83,752,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),240,Vb2(mV),4988,2400.0,11.9712
84,761,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
85,770,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
86,779,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
87,788,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
88,797,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
89,806,Vs1(uV),170,Vb1(mV),4996,1700.0,8.4932,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
90,815,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
91,823,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
92,832,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
93,841,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
94,850,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
95,859,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
96,868,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4988,2300.0,11.4724
97,877,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
98,886,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
99,895,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
100,904,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
101,913,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
102,922,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
103,931,Vs1(uV),160,Vb1(mV),4992,1600.0,7.9872,Vs2(uV),220,Vb2(mV),4996,2200.0,10.9912
104,939,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
105,948,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
106,957,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
107,966,Vs1(uV),150,Vb1(mV),4988,1500.0,7.482,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
108,975,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
