629290700 , ---------------------
630305800 , SENSOR 2
3014100 , window_factor 7.63
3974500 , sensitivity: high
523765500 , target (90000) , 85937.50
524771700 , threshold (50000) , 46875.00
525763400 , 
525763400 , SENSOR 1
526766100 , window_factor 7.63
527764500 , sensitivity: high
519630800 , target (90000) , 85937.50
525037700 , threshold (50000) , 46875.00
525037700 , 
527031100 , Sensor, Temp , F_sens , F_ref, Rech_Count
528034100 , 1 , 81 , 72692 , 75012 , 0
530022600 , 2 , 82 , 0 , 79933 , 10000000
1259630700 , 1 , 81 , 72685 , 75019 , 0
1263054600 , 2 , 82 , 0 , 79933 , 10000000
1260642400 , 1 , 81 , 72723 , 75065 , 0
1264604900 , 2 , 82 , 0 , 79933 , 10000000
1260645400 , 1 , 81 , 72692 , 75042 , 0
1264621600 , 2 , 82 , 0 , 79933 , 10000000
1261639400 , 1 , 81 , 72677 , 75019 , 0
1265628500 , 2 , 82 , 0 , 79933 , 10000000
1261632400 , 1 , 81 , 72669 , 75027 , 0
1265589000 , 2 , 82 , 0 , 79933 , 10000000
1260611500 , 1 , 81 , 72669 , 75019 , 0
1264628900 , 2 , 82 , 0 , 79933 , 10000000
1260654800 , 1 , 81 , 72685 , 75035 , 0
1264763800 , 2 , 82 , 0 , 79933 , 10000000
1260643500 , 1 , 81 , 72669 , 75035 , 0
1264622800 , 2 , 82 , 0 , 79933 , 10000000
1260690500 , 1 , 81 , 72669 , 75012 , 0
4926800 , 2 , 82 , 0 , 79933 , 10000000
