02:48:41 , Sensor, Temp , F_sens , F_ref, Rech_Count
02:48:41 , 2 , 108 , 0 , 0 , 0
02:48:47 , RESET: SENSOR 2
02:48:47 , window_factor 3.81
02:48:47 , sensitivity high
02:48:47 , 
02:48:50 , Sensor, Temp , F_sens , F_ref, Rech_Count
02:48:50 , 2 , 109 , 47218 , 42335 , 0
02:48:52 , 2 , 109 , 47210 , 42327 , 0
02:48:52 , 2 , 109 , 47206 , 42327 , 0
02:48:53 , 2 , 109 , 47214 , 42327 , 0
02:48:54 , 2 , 109 , 47203 , 42324 , 0
02:48:55 , 2 , 109 , 47195 , 42320 , 0
02:48:55 , SENSOR 1 NOT CONNECTED
02:48:57 , RESET: SENSOR 2
02:48:57 , window_factor 3.81
02:48:57 , sensitivity high
02:48:57 , 
02:48:58 , Sensor, Temp , F_sens , F_ref, Rech_Count
02:48:58 , 2 , 109 , 47210 , 42324 , 0
02:48:59 , 2 , 109 , 47214 , 42327 , 0
02:49:00 , unknown command: 4
02:49:03 , deactivated
02:49:07 , 2 , 78 , 15659 , 42324 , 0
02:49:08 , 2 , 79 , 47222 , 42324 , 0
02:49:09 , 2 , 79 , 47222 , 42324 , 0
02:49:11 , 2 , 79 , 47222 , 42324 , 0
