2632263900 , ---------------------
2632829200 , SENSOR 2
2633832100 , window_factor 7.63
2634827300 , sensitivity: low
521698800 , target (180000) , 179687.50
522690200 , threshold (140000) , 132812.50
523686600 , 
272328400 , SENSOR 1
276318600 , window_factor 7.63
277316500 , sensitivity: low
523671300 , target (180000) , 179687.50
524686900 , threshold (140000) , 132812.50
525669700 , 
276717500 , Sensor, Temp , F_sens , F_ref, Rech_Count
250351500 , 2 , 85 , 171409 , 168930 , 0
11969200 , 1 , 81 , 170173 , 168640 , 0
248324700 , 2 , 85 , 171302 , 168930 , 0
11967600 , 1 , 81 , 170204 , 168640 , 0
249332800 , 2 , 85 , 171318 , 168930 , 0
14950200 , 1 , 81 , 170227 , 168640 , 0
245938700 , 2 , 85 , 171318 , 168937 , 0
15956500 , 1 , 81 , 170326 , 168647 , 0
245651300 , 2 , 85 , 171295 , 168930 , 0
16989300 , 1 , 81 , 170188 , 168632 , 0
245596900 , 2 , 85 , 171295 , 168930 , 0
15957400 , 1 , 81 , 170234 , 168624 , 0
245466400 , 2 , 85 , 171318 , 168937 , 0
16954500 , 1 , 81 , 170234 , 168640 , 0
248278600 , 2 , 85 , 171310 , 168937 , 0
12967300 , 1 , 81 , 170227 , 168640 , 0
250329300 , 2 , 85 , 171333 , 168937 , 0
10970100 , 1 , 81 , 170227 , 168632 , 0
248844400 , 2 , 85 , 171287 , 168937 , 0
11968500 , 1 , 81 , 170219 , 168632 , 0
248852100 , 2 , 85 , 171318 , 168937 , 0
15957500 , 1 , 81 , 170234 , 168632 , 0
245375800 , 2 , 85 , 171302 , 168937 , 0
15960300 , 1 , 81 , 170219 , 168640 , 0
245718100 , 2 , 85 , 171340 , 168945 , 0
14961600 , 1 , 81 , 170219 , 168647 , 0
245369100 , 2 , 85 , 171348 , 168945 , 0
15954300 , 1 , 81 , 170219 , 168647 , 0
245918500 , 2 , 85 , 171340 , 168945 , 0
16466800 , 1 , 81 , 170242 , 168640 , 0
248627300 , 2 , 85 , 171379 , 168930 , 0
11934800 , 1 , 81 , 170227 , 168632 , 0
248847500 , 2 , 85 , 171310 , 168930 , 0
11961400 , 1 , 81 , 170211 , 168632 , 0
249932100 , 2 , 85 , 171302 , 168945 , 0
11971800 , 1 , 81 , 170211 , 168640 , 0
248843800 , 2 , 85 , 171340 , 168945 , 0
15984000 , 1 , 81 , 170219 , 168647 , 0
246355800 , 2 , 85 , 171279 , 168945 , 0
15955900 , 1 , 81 , 170234 , 168640 , 0
246341500 , 2 , 85 , 171333 , 168945 , 0
15957100 , 1 , 81 , 170234 , 168655 , 0
245378900 , 2 , 85 , 171310 , 168945 , 0
15962700 , 1 , 81 , 170196 , 168647 , 0
245850500 , 2 , 85 , 171310 , 168952 , 0
14948000 , 1 , 81 , 170242 , 168640 , 0
245000400 , 2 , 85 , 171318 , 168945 , 0
14958000 , 1 , 81 , 170219 , 168647 , 0
248535500 , 2 , 85 , 171310 , 168945 , 0
11997600 , 1 , 81 , 170242 , 168640 , 0
249333500 , 2 , 85 , 171318 , 168937 , 0
11968800 , 1 , 81 , 170211 , 168640 , 0
249820300 , 2 , 85 , 171318 , 168945 , 0
11967100 , 1 , 81 , 170227 , 168647 , 0
249142600 , 2 , 85 , 171318 , 168952 , 0
14957800 , 1 , 81 , 170219 , 168647 , 0
