14180079.0 , 2 , 82 , 63896 , 70747 , 0
14192047.4 , 1 , 80 , 256919 , 75439 , 0
14442376.9 , 2 , 82 , 63926 , 70739 , 0
14458335.0 , 1 , 80 , 256919 , 75424 , 0
14704676.1 , 2 , 82 , 63903 , 70747 , 0
14720633.4 , 1 , 80 , 256912 , 75424 , 0
14966977.4 , 2 , 82 , 63880 , 70747 , 0
14982935.4 , 1 , 80 , 256851 , 75431 , 0
15229272.8 , 2 , 82 , 63903 , 70739 , 0
15245229.0 , 1 , 80 , 256828 , 75431 , 0
15490573.8 , 2 , 82 , 63888 , 70732 , 0
15507528.8 , 1 , 80 , 256896 , 75431 , 0
15752875.0 , 2 , 82 , 63888 , 70716 , 0
15769828.6 , 1 , 80 , 256912 , 75431 , 0
16018168.0 , 2 , 82 , 63865 , 70701 , 0
16031129.7 , 1 , 80 , 256896 , 75424 , 0
16280461.7 , 2 , 82 , 63865 , 70716 , 0
16293426.2 , 1 , 80 , 256904 , 75424 , 0
16542761.5 , 2 , 82 , 63858 , 70701 , 0
16555733.2 , 1 , 80 , 256927 , 75424 , 0
16805061.1 , 2 , 82 , 63873 , 70709 , 0
16821017.1 , 1 , 80 , 256843 , 75416 , 0
17067358.6 , 2 , 82 , 63880 , 70716 , 0
17084312.8 , 1 , 80 , 256889 , 75431 , 0
17329657.2 , 2 , 82 , 63850 , 70693 , 0
17345614.2 , 1 , 80 , 256866 , 75401 , 0
17591954.3 , 2 , 82 , 63873 , 70686 , 0
17607920.6 , 1 , 80 , 256889 , 75424 , 0
17854256.6 , 2 , 82 , 63896 , 70686 , 0
17871211.7 , 1 , 80 , 256881 , 75401 , 0
18116550.8 , 2 , 82 , 63858 , 70701 , 0
18132509.5 , 1 , 80 , 256843 , 75393 , 0
18381841.2 , 2 , 82 , 63873 , 70693 , 0
18394807.8 , 1 , 80 , 256843 , 75401 , 0
18644142.0 , 2 , 82 , 63880 , 70716 , 0
18657106.9 , 1 , 80 , 256828 , 75408 , 0
18906440.7 , 2 , 82 , 63888 , 70693 , 0
18922400.1 , 1 , 80 , 256881 , 75416 , 0
19168739.2 , 2 , 82 , 63850 , 70693 , 0
19184695.3 , 1 , 80 , 256874 , 75416 , 0
19431036.5 , 2 , 82 , 63888 , 70709 , 0
19446995.2 , 1 , 80 , 256851 , 75408 , 0
19693335.5 , 2 , 82 , 63888 , 70693 , 0
19709294.6 , 1 , 80 , 257003 , 75424 , 0
19954637.0 , 2 , 82 , 63880 , 70686 , 0
19971592.4 , 1 , 80 , 256889 , 75416 , 0
20216935.0 , 2 , 82 , 63880 , 70686 , 0
20233889.7 , 1 , 80 , 256912 , 75424 , 0
20483222.7 , 2 , 82 , 63888 , 70701 , 0
20496187.2 , 1 , 80 , 256835 , 75408 , 0
20745521.6 , 2 , 82 , 63888 , 70693 , 0
20758491.9 , 1 , 80 , 256980 , 75401 , 0
21007820.4 , 2 , 82 , 63873 , 70709 , 0
21023779.9 , 1 , 80 , 256843 , 75416 , 0
21270119.1 , 2 , 82 , 63880 , 70716 , 0
21286075.9 , 1 , 80 , 256835 , 75408 , 0
21359879.4 , SENSOR 1
21365867.4 , AUTO RECHARGE active
21366860.8 , window_factor 7.63
21367857.5 , sensitivity: low
21856551.2 , target (180000) , 179687.50
21858546.7 , threshold (140000) , 132812.50
21858546.7 , 
22133809.6 , 1 , 80 , 199501 , 170303 , 0
22134806.4 , 2 , 82 , 63880 , 70709 , 0
22318314.9 , 2 , 82 , 63934 , 70693 , 0
22334272.5 , 1 , 80 , 199508 , 170303 , 0
22580614.8 , 2 , 82 , 63835 , 70693 , 0
22596572.6 , 1 , 80 , 199501 , 170318 , 0
22846902.2 , 2 , 82 , 63880 , 70701 , 0
22859870.9 , 1 , 80 , 199501 , 170318 , 0
23108204.8 , 2 , 82 , 63850 , 70693 , 0
23121168.1 , 1 , 80 , 199508 , 170333 , 0
23370502.8 , 2 , 82 , 63850 , 70693 , 0
23386459.6 , 1 , 80 , 199478 , 170326 , 0
23632800.1 , 2 , 82 , 63873 , 70678 , 0
23648758.2 , 1 , 80 , 199508 , 170341 , 0
23895102.5 , 2 , 82 , 63850 , 70671 , 0
23911061.6 , 1 , 80 , 199516 , 170333 , 0
24157397.3 , 2 , 82 , 63850 , 70678 , 0
24173354.7 , 1 , 80 , 199516 , 170333 , 0
24419696.9 , 2 , 82 , 63903 , 70678 , 0
24435655.1 , 1 , 80 , 199554 , 170341 , 0
24681994.6 , 2 , 82 , 63873 , 70678 , 0
24698949.9 , 1 , 80 , 199523 , 170333 , 0
24943297.1 , 2 , 82 , 63873 , 70678 , 0
24960251.8 , 1 , 80 , 199531 , 170349 , 0
25209588.5 , 2 , 82 , 63865 , 70686 , 0
25222548.8 , 1 , 80 , 199539 , 170349 , 0
25471881.6 , 2 , 82 , 63858 , 70686 , 0
25483852.0 , 1 , 80 , 199508 , 170349 , 0
25734181.0 , 2 , 82 , 63926 , 70686 , 0
25750139.5 , 1 , 80 , 199501 , 170349 , 0
25996480.2 , 2 , 82 , 63919 , 70686 , 0
26012439.8 , 1 , 80 , 199501 , 170349 , 0
26258778.3 , 2 , 82 , 63835 , 70686 , 0
26274734.8 , 1 , 80 , 199531 , 170356 , 0
26520079.9 , 2 , 82 , 63850 , 70686 , 0
26537033.4 , 1 , 80 , 199508 , 170356 , 0
26782379.2 , 2 , 82 , 63911 , 70671 , 0
26799335.0 , 1 , 80 , 199539 , 170356 , 0
27044677.9 , 2 , 82 , 63873 , 70693 , 0
27061631.7 , 1 , 80 , 199508 , 170364 , 0
27309968.8 , 2 , 82 , 63888 , 70678 , 0
27322931.3 , 1 , 80 , 199577 , 170364 , 0
27572265.9 , 2 , 82 , 63896 , 70671 , 0
27585230.8 , 1 , 80 , 199546 , 170356 , 0
27835561.6 , 2 , 82 , 63888 , 70701 , 0
27847533.0 , 1 , 80 , 199554 , 170364 , 0
28097862.4 , 2 , 82 , 63880 , 70709 , 0
28112821.2 , 1 , 80 , 199546 , 170364 , 0
28359161.7 , 2 , 82 , 63850 , 70693 , 0
28376118.9 , 1 , 80 , 199577 , 170364 , 0
28621462.5 , 2 , 82 , 63858 , 70693 , 0
28637418.3 , 1 , 80 , 199554 , 170372 , 0
28883759.1 , 2 , 82 , 63842 , 70678 , 0
28899719.8 , 1 , 80 , 199554 , 170372 , 0
29146057.2 , 2 , 82 , 63842 , 70693 , 0
29163012.5 , 1 , 80 , 199562 , 170364 , 0
29407358.8 , 2 , 82 , 63873 , 70693 , 0
29424312.7 , 1 , 80 , 199569 , 170379 , 0
29673646.5 , 2 , 82 , 63842 , 70693 , 0
29686615.6 , 1 , 80 , 199562 , 170379 , 0
29935945.0 , 2 , 82 , 63873 , 70686 , 0
29948910.5 , 1 , 80 , 199569 , 170379 , 0
30201238.2 , 2 , 82 , 63812 , 70678 , 0
30211208.3 , 1 , 80 , 199600 , 170379 , 0
