0,2 , 83 , 83419 , 70121 , 0
0, , 50621 , 75454 , 0
0,05 , 75454 , 0
0,2 , 83 , 83374 , 70129 , 0
0,1 , 80 , 50628 , 75462 , 0
0,2 , 83 , 83351 , 70121 , 0
0,1 , 80 , 50621 , 75454 , 0
0,05 , 75454 , 0
0,2 , 83 , 83374 , 70129 , 0
0,1 , 80 , 50628 , 75462 , 0
0,2 , 83 , 83351 , 70121 , 0
0,1 , 80 , 50621 , 75454 , 0
0,05 , 75454 , 0
0,2 , 83 , 83374 , 70129 , 0
0,1 , 80 , 50628 , 75462 , 0
0,2 , 83 , 83351 , 70121 , 0
0,1 , 80 , 50621 , 75454 , 0
0,---------------------
0,SENSOR 2
0,window_factor 7.63
0,sensitivity: high
0,target (90000) , 85937.50
0,threshold (50000) , 46875.00
0,
0,SENSOR 1
0,window_factor 7.63
0,sensitivity: high
0,target (90000) , 85937.50
0,threshold (50000) , 46875.00
0,
0,Sensor, Temp , F_sens , F_ref, Rech_Count
0,1 , 80 , 50704 , 75462 , 0
1000,2 , 83 , 83412 , 70159 , 0
244835.0,2 , 83 , 83480 , 70144 , 0
264125.0,1 , 80 , 50590 , 75454 , 0
507960.0,2 , 83 , 83435 , 70144 , 0
527250.0,1 , 80 , 50621 , 75454 , 0
771085.0,2 , 83 , 83404 , 70121 , 0
790375.0,1 , 80 , 50613 , 75454 , 0
1034210.0,2 , 83 , 83404 , 70114 , 0
1053500.0,1 , 80 , 50590 , 75447 , 0
1297335.0,2 , 83 , 83457 , 70144 , 0
1316625.0,1 , 80 , 50621 , 75447 , 0
1560460.0,2 , 83 , 83450 , 70144 , 0
1579750.0,1 , 80 , 50605 , 75439 , 0
1823585.0,2 , 83 , 83435 , 70152 , 0
1842875.0,1 , 80 , 50575 , 75447 , 0
2086710.0,2 , 83 , 83419 , 70137 , 0
2106000.0,1 , 80 , 50605 , 75447 , 0
2349835.0,2 , 83 , 83419 , 70144 , 0
2369125.0,1 , 80 , 50605 , 75439 , 0
2612960.0,2 , 83 , 83374 , 70152 , 0
2632250.0,1 , 80 , 50605 , 75447 , 0
2876085.0,2 , 83 , 83427 , 70137 , 0
2895375.0,1 , 80 , 50598 , 75447 , 0
3139210.0,2 , 83 , 83427 , 70152 , 0
3158500.0,1 , 80 , 50582 , 75462 , 0
3402335.0,2 , 83 , 83450 , 70152 , 0
3421625.0,1 , 80 , 50598 , 75447 , 0
3665460.0,2 , 83 , 83457 , 70159 , 0
3684750.0,1 , 80 , 50582 , 75439 , 0
3928585.0,2 , 83 , 83442 , 70152 , 0
3947875.0,1 , 80 , 50605 , 75439 , 0
4191710.0,2 , 83 , 83457 , 70159 , 0
4211000.0,1 , 80 , 50605 , 75439 , 0
4454835.0,2 , 83 , 83404 , 70152 , 0
4474125.0,1 , 80 , 50605 , 75431 , 0
4717960.0,2 , 83 , 83374 , 70152 , 0
4737250.0,1 , 80 , 50605 , 75439 , 0
4981085.0,2 , 83 , 83450 , 70152 , 0
5000375.0,1 , 80 , 50613 , 75454 , 0
5244210.0,2 , 83 , 83381 , 70152 , 0
5263500.0,1 , 80 , 50605 , 75454 , 0
5507335.0,2 , 83 , 83412 , 70144 , 0
5526625.0,1 , 80 , 50636 , 75447 , 0
5770460.0,2 , 83 , 83412 , 70121 , 0
5789750.0,1 , 80 , 50605 , 75447 , 0
6033585.0,2 , 83 , 83412 , 70144 , 0
6052875.0,1 , 80 , 50621 , 75454 , 0
6296710.0,2 , 83 , 83412 , 70137 , 0
6316000.0,1 , 80 , 50621 , 75447 , 0
6559835.0,2 , 83 , 83366 , 70129 , 0
6579125.0,1 , 80 , 50613 , 75447 , 0
6822960.0,2 , 83 , 83366 , 70129 , 0
6842250.0,1 , 80 , 50613 , 75469 , 0
7086085.0,2 , 83 , 83366 , 70121 , 0
7105375.0,1 , 80 , 50666 , 75485 , 0
7349210.0,2 , 83 , 83396 , 70114 , 0
7368500.0,1 , 80 , 50674 , 75469 , 0
7612335.0,2 , 83 , 83396 , 70137 , 0
7631625.0,1 , 80 , 50621 , 75477 , 0
7875460.0,2 , 83 , 83381 , 70144 , 0
7894750.0,1 , 80 , 50621 , 75477 , 0
8138585.0,2 , 83 , 83374 , 70144 , 0
8157875.0,1 , 80 , 50628 , 75477 , 0
8401710.0,2 , 83 , 83427 , 70137 , 0
8421000.0,1 , 80 , 50628 , 75469 , 0
8664835.0,2 , 83 , 83381 , 70159 , 0
8684125.0,1 , 80 , 50613 , 75477 , 0
8927960.0,2 , 83 , 83396 , 70137 , 0
8947250.0,1 , 80 , 50636 , 75469 , 0
9191085.0,2 , 83 , 83389 , 70137 , 0
9210375.0,1 , 80 , 50613 , 75469 , 0
9454210.0,2 , 83 , 83404 , 70144 , 0
9473500.0,1 , 80 , 50605 , 75462 , 0
9717335.0,2 , 83 , 83374 , 70114 , 0
9736625.0,1 , 80 , 50628 , 75469 , 0
9980460.0,2 , 83 , 83374 , 70129 , 0
9999750.0,1 , 80 , 50628 , 75477 , 0
10243585.0,2 , 83 , 83366 , 70137 , 0
10262875.0,1 , 80 , 50613 , 75469 , 0
10506710.0,2 , 83 , 83404 , 70137 , 0
10526000.0,1 , 80 , 50598 , 75469 , 0
10769835.0,2 , 83 , 83389 , 70144 , 0
10789125.0,1 , 80 , 50598 , 75454 , 0
11032960.0,2 , 83 , 83389 , 70137 , 0
11052250.0,1 , 80 , 50621 , 75469 , 0
11296085.0,2 , 83 , 83351 , 70129 , 0
11315375.0,1 , 80 , 50628 , 75454 , 0
