SAMV71_A1_HIGH2_Dec_16_19-16-05.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,13.0,340.0,4984.0,3400.0,16.9592,360.0,4984.0,3600.0,17.9568
max,662204.0,450.0,4996.0,4500.0,22.464,490.0,4996.0,4900.0,24.4412
mean,,393.26970808827497,4988.582636378352,3932.6970808827496,19.61858400151082,426.7428371013867,4990.150919980575,4267.428371013867,21.29510958290617
median,,400.0,4988.0,4000.0,19.952,420.0,4992.0,4200.0,20.9664
std,,16.06815431348458,1.807039549974411,160.6815431348458,0.8015984502636799,16.71975057550751,2.066802981919143,167.1975057550751,0.8343343708024419
var,,258.1855830419532,3.2653919351717215,25818.558304195314,0.6425600754651334,279.5500593071838,4.271674566069861,27955.00593071837,0.6961138423023066
skew,,-0.0867517022465514,0.6221019063090206,-0.08675170224654931,-0.08645433559852717,0.10328292917809191,-0.05367966658211709,0.10328292917809605,0.10317532341381591
SAMV71_A1_HIGH_Dec_16_16-05-10.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,16.0,0.0,4936.0,0.0,0.0,0.0,4940.0,0.0,0.0
max,14811.0,440.0,4984.0,4400.0,21.8064,480.0,4988.0,4800.0,23.808
mean,,348.4680337756333,4953.464414957781,3484.680337756333,17.254508082026536,375.51266586248494,4956.077201447527,3755.1266586248494,18.602615440289508
median,,380.0,4952.0,3800.0,18.8328,420.0,4956.0,4200.0,20.7816
std,,115.84255856136602,8.13808115008548,1158.4255856136604,5.734822845309181,132.79915326551125,8.199905728836669,1327.9915326551125,6.57887399382885
var,,13419.498374043516,66.22836480537661,1341949.837404352,32.88819306708009,17635.61510803675,67.2384539618084,1763561.5108036743,43.28158302667756
skew,,-2.4417089225025648,0.7305890270787019,-2.4417089225025648,-2.441593299530674,-2.4327204827396263,0.8421362885790638,-2.432720482739627,-2.432566629940152
SAMV71_A1_HIGH_Dec_16_19-02-08.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,15.0,360.0,4984.0,3600.0,17.9568,390.0,4984.0,3900.0,19.4532
max,1893.0,440.0,4992.0,4400.0,21.9472,470.0,4992.0,4700.0,23.4624
mean,,393.0660377358491,4987.226415094339,3930.6603773584907,19.603071698113208,426.6509433962264,4988.622641509434,4266.509433962264,21.284020754716984
median,,400.0,4988.0,4000.0,19.936,420.0,4988.0,4200.0,20.9664
std,,16.56626439423239,1.807215757375065,165.6626439423239,0.8257626066900399,17.40542076743816,1.86488036381677,174.0542076743816,0.8687245428332009
var,,274.44111597961194,3.2660287937047294,27444.111597961186,0.6818838826075295,302.9486720915676,3.477778771349368,30294.867209156753,0.7546823313207539
skew,,-0.09444446255819071,-0.7510574055352549,-0.09444446255818864,-0.09047251102337861,0.24244744231742726,0.5091044562700232,0.24244744231743315,0.24406648338481138
SAMV71_A1_HIGH_Dec_16_19-02-57.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,16.0,340.0,4984.0,3400.0,16.9456,370.0,4984.0,3700.0,18.4556
max,652280.0,450.0,4996.0,4500.0,22.464,490.0,4996.0,4900.0,24.4608
mean,,393.7973852633882,4988.508560800831,3937.973852633882,19.64461592363656,427.4242382801816,4990.070565067556,4274.242382801816,21.328773508013786
median,,400.0,4988.0,4000.0,19.952,420.0,4992.0,4200.0,20.9664
std,,16.03093421648318,1.797540972734751,160.3093421648318,0.7997291693162604,16.699951607213606,2.0657381497282263,166.99951607213603,0.8334503174702472
var,,256.99085185321115,3.2311535486601954,25699.085185321117,0.6395667442552759,278.8883836832763,4.267274103242596,27888.838368327622,0.694639431691256
skew,,-0.10330130842788957,0.5639474811682388,-0.10330130842788739,-0.10309917729936864,0.08139745848652333,0.00218100961820384,0.08139745848651918,0.08163982206402844
SAMV71_A1_LOW_Dec_16_19-14-39.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,14.0,130.0,4984.0,1300.0,6.4844,160.0,4988.0,1600.0,7.9872
max,30731.0,220.0,4996.0,2200.0,10.9824,260.0,4996.0,2600.0,12.9896
mean,,176.70444638186575,4989.880848590526,1767.0444638186573,8.817338796861378,219.21825050857308,4991.611740773031,2192.182505085731,10.94252786980529
median,,180.0,4988.0,1800.0,8.9784,220.0,4992.0,2200.0,10.9824
std,,13.591084008505971,2.1121979570857805,135.9108400850597,0.6781497240076794,14.144161153249339,1.8319900915595975,141.4416115324934,0.706087749944229
var,,184.71756452626673,4.461380209917345,18471.75645262667,0.4598870481716916,200.0572947290877,3.356187695572542,20005.729472908766,0.498559910621304
skew,,-0.02532395692360775,0.27890297220057536,-0.025323956923602658,-0.025705646512862747,-0.04660241417525695,-0.3655364859596694,-0.04660241417526187,-0.046928736326195916
SAMV71_A2P_HIGH_Dec_16_21-11-38.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,16.0,350.0,4984.0,3500.0,17.458,0.0,4984.0,0.0,0.0
