2987800,Vs1(uV),420,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
7983200,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4992
11967000,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
16952300,Vs1(uV),420,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
20941700,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4992
25929600,Vs1(uV),410,Vb1(mV),4992,Vs2(uV),450,Vb2(mV),4992
29919200,Vs1(uV),400,Vb1(mV),4992,Vs2(uV),410,Vb2(mV),4992
34904100,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4988
38893300,Vs1(uV),420,Vb1(mV),4988,Vs2(uV),450,Vb2(mV),4992
43899800,Vs1(uV),380,Vb1(mV),4992,Vs2(uV),440,Vb2(mV),4988
47870300,Vs1(uV),390,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4988
52855400,Vs1(uV),370,Vb1(mV),4988,Vs2(uV),410,Vb2(mV),4992
56845800,Vs1(uV),370,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
61835400,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
65883600,Vs1(uV),390,Vb1(mV),4988,Vs2(uV),450,Vb2(mV),4992
69811000,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4992
74799500,Vs1(uV),380,Vb1(mV),4992,Vs2(uV),450,Vb2(mV),4992
78789200,Vs1(uV),400,Vb1(mV),4992,Vs2(uV),450,Vb2(mV),4988
83773400,Vs1(uV),400,Vb1(mV),4992,Vs2(uV),450,Vb2(mV),4992
87762500,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),430,Vb2(mV),4988
92748800,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
96741500,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4988
100731400,Vs1(uV),410,Vb1(mV),4992,Vs2(uV),440,Vb2(mV),4992
105715300,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),430,Vb2(mV),4992
109706100,Vs1(uV),390,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
114694200,Vs1(uV),370,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4992
118679900,Vs1(uV),410,Vb1(mV),4992,Vs2(uV),460,Vb2(mV),4992
123665900,Vs1(uV),420,Vb1(mV),4988,Vs2(uV),430,Vb2(mV),4988
128655400,Vs1(uV),410,Vb1(mV),4992,Vs2(uV),410,Vb2(mV),4988
132643600,Vs1(uV),360,Vb1(mV),4988,Vs2(uV),450,Vb2(mV),4992
136632200,Vs1(uV),400,Vb1(mV),4992,Vs2(uV),450,Vb2(mV),4988
141620400,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4988
145608000,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),450,Vb2(mV),4992
149596400,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4988
154582500,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),400,Vb2(mV),4988
159573400,Vs1(uV),410,Vb1(mV),4988,Vs2(uV),450,Vb2(mV),4992
163561500,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),410,Vb2(mV),4992
167549200,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),430,Vb2(mV),4992
172535500,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),420,Vb2(mV),4992
176530100,Vs1(uV),420,Vb1(mV),4988,Vs2(uV),460,Vb2(mV),4992
181511600,Vs1(uV),380,Vb1(mV),4988,Vs2(uV),440,Vb2(mV),4988
185500900,Vs1(uV),400,Vb1(mV),4988,Vs2(uV),460,Vb2(mV),4992
