1722726000 , SENSOR 2
1726879500 , window_factor 3.81
1727642000 , sensitivity high
2771173700 , target (50000) , 50781.25
2771173700 , threshold (30000) , 31250.00
2777445500 , 
3303088900 , Sensor, Temp , F_sens , F_ref, Rech_Count
65310226900 , 2 , 107 , 47573 , 42568 , 0
65827256000 , 2 , 107 , 47565 , 42560 , 0
66359809100 , 2 , 107 , 47569 , 42556 , 0
66884949900 , 2 , 107 , 47561 , 42552 , 0
67409168000 , 2 , 107 , 47561 , 42560 , 0
67933910600 , 2 , 107 , 47557 , 42560 , 0
68457435000 , 2 , 107 , 47561 , 42560 , 0
68989337300 , 2 , 107 , 47557 , 42556 , 0
69507344200 , 2 , 107 , 47557 , 42560 , 0
70037019400 , 2 , 107 , 47554 , 42552 , 0
70560717400 , 2 , 107 , 47557 , 42549 , 0
71092836400 , 2 , 107 , 47554 , 42556 , 0
71609555900 , 2 , 107 , 47557 , 42552 , 0
72147961400 , 2 , 107 , 47557 , 42556 , 0
72665095400 , 2 , 107 , 47565 , 42556 , 0
73202045800 , 2 , 107 , 47554 , 42552 , 0
73718867400 , 2 , 107 , 47557 , 42556 , 0
74246533600 , 2 , 107 , 47554 , 42556 , 0
74772981900 , 2 , 107 , 47550 , 42556 , 0
75296212200 , 2 , 107 , 47554 , 42552 , 0
75822705100 , 2 , 107 , 47554 , 42549 , 0
76347239500 , 2 , 107 , 47565 , 42549 , 0
76865977300 , 2 , 107 , 47561 , 42556 , 0
77402863600 , 2 , 107 , 47561 , 42552 , 0
77927721400 , 2 , 107 , 47557 , 42556 , 0
78456209900 , 2 , 107 , 47561 , 42556 , 0
78975541300 , 2 , 107 , 47561 , 42556 , 0
79504752700 , 2 , 107 , 47561 , 42564 , 0
80028236900 , 2 , 107 , 47565 , 42560 , 0
80555107800 , 2 , 107 , 47569 , 42560 , 0
81082157300 , 2 , 107 , 47557 , 42560 , 0
81603484600 , 2 , 107 , 47569 , 42560 , 0
82122787100 , 2 , 107 , 47569 , 42556 , 0
82659224500 , 2 , 107 , 47565 , 42556 , 0
83179110500 , 2 , 107 , 47561 , 42560 , 0
83698182200 , 2 , 107 , 47561 , 42556 , 0
84230272500 , 2 , 107 , 47565 , 42560 , 0
84756105900 , 2 , 107 , 47565 , 42556 , 0
85275443400 , 2 , 107 , 47561 , 42556 , 0
85806952200 , 2 , 107 , 47561 , 42552 , 0
86340041200 , 2 , 107 , 47550 , 42560 , 0
86864639600 , 2 , 107 , 47561 , 42568 , 0
87389246400 , 2 , 107 , 47565 , 42560 , 0
87913834600 , 2 , 107 , 47561 , 42560 , 0
88442423500 , 2 , 107 , 47561 , 42568 , 0
88966232500 , 2 , 107 , 47561 , 42568 , 0
89484635900 , 2 , 107 , 47561 , 42568 , 0
90019504500 , 2 , 107 , 47561 , 42560 , 0
90537227700 , 2 , 107 , 47565 , 42564 , 0
91067454300 , 2 , 107 , 47561 , 42575 , 0
91595200100 , 2 , 107 , 47569 , 42568 , 0
92119899700 , 2 , 107 , 47561 , 42568 , 0
92644209800 , 2 , 107 , 47554 , 42572 , 0
93165684500 , 2 , 107 , 47557 , 42560 , 0
93696312100 , 2 , 107 , 47565 , 42568 , 0
94221336800 , 2 , 107 , 47561 , 42568 , 0
94734117800 , 2 , 107 , 47561 , 42572 , 0
95267171900 , 2 , 107 , 47565 , 42568 , 0
95786668300 , 2 , 107 , 47561 , 42564 , 0
96319151800 , 2 , 107 , 47554 , 42568 , 0
96836164800 , 2 , 107 , 47557 , 42560 , 0
97374799100 , 2 , 107 , 47561 , 42564 , 0
97892271100 , 2 , 107 , 47557 , 42564 , 0
98427329000 , 2 , 107 , 47554 , 42568 , 0
98951909500 , 2 , 107 , 47561 , 42568 , 0
99476506000 , 2 , 107 , 47557 , 42556 , 0
100004096400 , 2 , 107 , 47557 , 42560 , 0
100528694500 , 2 , 107 , 47554 , 42560 , 0
101052703900 , 2 , 107 , 47554 , 42564 , 0
101577274400 , 2 , 107 , 47546 , 42560 , 0
102105861600 , 2 , 107 , 47542 , 42560 , 0
102629460600 , 2 , 107 , 47546 , 42560 , 0
103154060100 , 2 , 107 , 47554 , 42560 , 0
103681652600 , 2 , 107 , 47546 , 42556 , 0
104207248100 , 2 , 107 , 47542 , 42556 , 0
104730849600 , 2 , 107 , 47550 , 42556 , 0
105259434800 , 2 , 107 , 47546 , 42556 , 0
105783036700 , 2 , 107 , 47554 , 42560 , 0
106307634400 , 2 , 107 , 47554 , 42556 , 0
106836221100 , 2 , 107 , 47546 , 42556 , 0
107359848300 , 2 , 107 , 47557 , 42552 , 0
107884418500 , 2 , 107 , 47546 , 42560 , 0
108413005400 , 2 , 107 , 47554 , 42560 , 0
108937603500 , 2 , 107 , 47554 , 42560 , 0
109461231100 , 2 , 107 , 47554 , 42564 , 0
109988819600 , 2 , 107 , 47550 , 42560 , 0
110514389400 , 2 , 107 , 47557 , 42556 , 0
111038987800 , 2 , 107 , 47546 , 42556 , 0
111566574800 , 2 , 107 , 47550 , 42556 , 0
112091174100 , 2 , 107 , 47554 , 42560 , 0
112615770400 , 2 , 107 , 47554 , 42552 , 0
113142390200 , 2 , 107 , 47550 , 42556 , 0
113667958000 , 2 , 107 , 47546 , 42556 , 0
114191561300 , 2 , 107 , 47550 , 42556 , 0
114715678400 , 2 , 107 , 47561 , 42556 , 0
115244299600 , 2 , 107 , 47561 , 42564 , 0
115768553800 , 2 , 107 , 47561 , 42556 , 0
116292729400 , 2 , 107 , 47554 , 42560 , 0
116820922300 , 2 , 107 , 47561 , 42556 , 0
117344840500 , 2 , 107 , 47554 , 42560 , 0
117869583700 , 2 , 107 , 47557 , 42552 , 0
118398574100 , 2 , 107 , 47554 , 42556 , 0
118922329300 , 2 , 107 , 47554 , 42552 , 0
119450919700 , 2 , 107 , 47554 , 42564 , 0
119975081300 , 2 , 107 , 47561 , 42564 , 0
120499479300 , 2 , 107 , 47557 , 42560 , 0
121024075100 , 2 , 107 , 47561 , 42556 , 0
121550226000 , 2 , 107 , 47561 , 42556 , 0
122061187500 , 2 , 107 , 47565 , 42560 , 0
122594457400 , 2 , 107 , 47561 , 42564 , 0
123124696800 , 2 , 107 , 47554 , 42560 , 0
123651388400 , 2 , 107 , 47550 , 42560 , 0
124177662300 , 2 , 107 , 47550 , 42560 , 0
124705825500 , 2 , 107 , 47554 , 42556 , 0
125229701600 , 2 , 107 , 47550 , 42556 , 0
125749091600 , 2 , 107 , 47557 , 42556 , 0
126278755500 , 2 , 107 , 47557 , 42556 , 0
126806863100 , 2 , 107 , 47550 , 42556 , 0
127330987200 , 2 , 107 , 47546 , 42556 , 0
127855231300 , 2 , 107 , 47550 , 42560 , 0
128369764300 , 2 , 107 , 47550 , 42560 , 0
128908135700 , 2 , 107 , 47546 , 42556 , 0
129432157100 , 2 , 107 , 47557 , 42564 , 0
129960592300 , 2 , 107 , 47557 , 42560 , 0
130485119700 , 2 , 107 , 47550 , 42560 , 0
131009574700 , 2 , 107 , 47557 , 42560 , 0
131537449000 , 2 , 107 , 47554 , 42556 , 0
132061601500 , 2 , 107 , 47554 , 42560 , 0
132575285700 , 2 , 107 , 47561 , 42564 , 0
133114423300 , 2 , 107 , 47561 , 42564 , 0
133638672700 , 2 , 107 , 47561 , 42564 , 0
134163066700 , 2 , 107 , 47557 , 42560 , 0
134690729300 , 2 , 107 , 47554 , 42564 , 0
135215472400 , 2 , 107 , 47557 , 42568 , 0
135739780700 , 2 , 107 , 47546 , 42568 , 0
136263655300 , 2 , 107 , 47557 , 42560 , 0
136792439200 , 2 , 107 , 47554 , 42560 , 0
137314953900 , 2 , 107 , 47565 , 42556 , 0
137844840200 , 2 , 107 , 47557 , 42556 , 0
138366400700 , 2 , 107 , 47550 , 42556 , 0
138892021300 , 2 , 107 , 47554 , 42560 , 0
139413072100 , 2 , 107 , 47550 , 42552 , 0
139941639300 , 2 , 107 , 47550 , 42560 , 0
140470566600 , 2 , 107 , 47561 , 42560 , 0
140994451300 , 2 , 107 , 47554 , 42560 , 0
