SAMV71_HIGH_w32768_Feb_23_19-27-48.csv
,Time (ms),V_s1 (µV),V_b1 (mV),I_s1 (µA),P_1 (mW),V_s2 (µV),V_b2 (mV),I_s2 (µA),P_2 (mW)
min,13.0,330.0,4972.0,3300.0,16.434,360.0,4976.0,3600.0,17.9568
max,3611691.0,460.0,5012.0,4600.0,23.0368,490.0,5020.0,4900.0,24.5784
mean,,391.5223905690607,4995.139001523034,3915.2239056906064,19.557259339952925,425.90677354273396,5000.211958779199,4259.067735427339,21.29640930830548
median,,390.0,5004.0,3900.0,19.5312,420.0,5008.0,4200.0,21.0504
std,,16.224616873943454,12.522325943276073,162.24616873943452,0.8160511028252252,16.797046148096626,12.305986350755,167.97046148096626,0.8457743210768844
var,,263.23819270625063,156.808647029645,26323.819270625063,0.6659394024222662,282.1407593012877,151.43730006496833,28214.075930128776,0.7153342021930649
skew,,-0.03391972844781918,-0.031728600358657114,-0.0339197284478108,-0.031466687933180484,0.12932298371086237,-0.028034763752797034,0.12932298371086634,0.1295287990980288
